id,company_name,industry,employees,headquarters
31,"3M Company","Conglomerate / Industrials",95000,"St. Paul, MN"
32,"Honeywell International","Conglomerate / Industrials",103000,"Charlotte, NC"
33,"Caterpillar Inc.","Industrial Equipment",110000,"Deerfield, IL"
34,"Dow Inc.","Chemicals / Materials",36000,"Midland, MI"
35,"Johnson & Johnson","Healthcare / Pharmaceuticals",134500,"New Brunswick, NJ"
36,"Pfizer Inc.","Healthcare / Pharmaceuticals",79000,"New York, NY"
37,"Merck & Co., Inc.","Healthcare / Pharmaceuticals",74000,"Kenilworth, NJ"
38,"Abbott Laboratories","Healthcare / Medical Products",109000,"Abbott Park, IL"
39,"Procter & Gamble Co.","Consumer Goods",101000,"Cincinnati, OH"
40,"PepsiCo, Inc.","Food & Beverages",309000,"Purchase, NY"
41,"Coca‑Cola Company","Beverages / Food & Drink",86200,"Atlanta, GA"
42,"Nike, Inc.","Apparel & Footwear",79000,"Beaverton, OR"
43,"Starbucks Corporation","Food & Beverage / Retail",383000,"Seattle, WA"
44,"McDonald’s Corporation","Food & Beverage / Restaurants",210000,"Chicago, IL"
45,"FedEx Corporation","Logistics / Shipping",600000,"Memphis, TN"
46,"UPS","Logistics / Shipping",481000,"Atlanta, GA"
47,"Verizon Communications Inc.","Telecommunications",132000,"New York, NY"
48,"AT&T Inc.","Telecommunications",230000,"Dallas, TX"
49,"Cisco Systems, Inc.","Technology / Networking",82000,"San Jose, CA"
50,"Intel Corporation","Technology / Semiconductors",121100,"Santa Clara, CA"
51,"Adobe Inc.","Technology / Software",27000,"San Jose, CA"
52,"Oracle Corporation","Technology / Software",143000,"Redwood Shores, CA"
53,"Salesforce, Inc.","Technology / Software",73000,"San Francisco, CA"
54,"IBM (International Business Machines)","Technology / IT Services",288300,"Armonk, NY"
55,"Dell Technologies Inc.","Technology / IT Hardware",133000,"Round Rock, TX"
56,"Qualcomm Inc.","Technology / Semiconductors",51000,"San Diego, CA"
57,"Texas Instruments Incorporated","Technology / Semiconductors",32700,"Dallas, TX"
58,"Nvidia Corporation","Technology / Semiconductors",22000,"Santa Clara, CA"
59,"Uber Technologies, Inc.","Technology / Transportation",29500,"San Francisco, CA"
60,"Lyft, Inc.","Technology / Transportation",13000,"San Francisco, CA"
61,"Pfizer Inc.","Healthcare / Pharmaceuticals",79000,"New York, NY"
62,"CVS Health","Healthcare / Pharmacy",259500,"Woonsocket, RI"
63,"Exxon Mobil Corporation","Energy / Petroleum",72000,"Irving, TX"
64,"Chevron Corporation","Energy / Petroleum",48000,"San Ramon, CA"
65,"UnitedHealth Group","Healthcare / Insurance",440000,"Minnetonka, MN"
66,"McKesson Corporation","Healthcare Wholesale",48000,"Irving, TX"
67,"Cencora, Inc.","Pharmaceutical Wholesale",44000,"Conshohocken, PA"
68,"Costco Wholesale Corporation","Retail / Wholesale",316000,"Issaquah, WA"
69,"Bank of America Corporation","Finance / Banking",211000,"Charlotte, NC"
70,"Wells Fargo & Company","Finance / Banking",266000,"San Francisco, CA"
71,"Citigroup Inc.","Finance / Banking",210000,"New York, NY"
72,"Goldman Sachs Group","Finance / Investment Banking",43000,"New York, NY"
73,"Morgan Stanley","Finance / Investment Banking",82000,"New York, NY"
74,"Ford Motor Company","Automotive",183000,"Dearborn, MI"
75,"General Motors Company","Automotive",164000,"Detroit, MI"
76,"Tesla, Inc.","Automotive / EV",127855,"Palo Alto, CA"
77,"Home Depot, Inc.","Retail / Home Improvement",415000,"Atlanta, GA"
78,"Target Corporation","Retail",409000,"Minneapolis, MN"
79,"Lowe's Companies, Inc.","Retail / Home Improvement",300000,"Mooresville, NC"
80,"Boeing Company","Aerospace & Defense",141000,"Chicago, IL"
81,"Lockheed Martin Corporation","Aerospace & Defense",114000,"Bethesda, MD"
82,"3M Company","Conglomerate / Industrials",95000,"St. Paul, MN"
83,"Honeywell International","Conglomerate / Industrials",103000,"Charlotte, NC"
84,"Caterpillar Inc.","Industrial Equipment",110000,"Deerfield, IL"
85,"Dow Inc.","Chemicals / Materials",36000,"Midland, MI"
86,"Johnson & Johnson","Healthcare / Pharmaceuticals",134500,"New Brunswick, NJ"
87,"Abbott Laboratories","Healthcare / Medical Products",109000,"Abbott Park, IL"
88,"Procter & Gamble Co.","Consumer Goods",101000,"Cincinnati, OH"
89,"PepsiCo, Inc.","Food & Beverages",309000,"Purchase, NY"
90,"Coca‑Cola Company","Beverages / Food & Drink",86200,"Atlanta, GA"
91,"Nike, Inc.","Apparel & Footwear",79000,"Beaverton, OR"
92,"Starbucks Corporation","Food & Beverage / Retail",383000,"Seattle, WA"
93,"McDonald’s Corporation","Food & Beverage / Restaurants",210000,"Chicago, IL"
94,"FedEx Corporation","Logistics / Shipping",600000,"Memphis, TN"
95,"UPS","Logistics / Shipping",481000,"Atlanta, GA"
96,"Verizon Communications Inc.","Telecommunications",132000,"New York, NY"
97,"AT&T Inc.","Telecommunications",230000,"Dallas, TX"
98,"Cisco Systems, Inc.","Technology / Networking",82000,"San Jose, CA"
99,"Intel Corporation","Technology / Semiconductors",121100,"Santa Clara, CA"
100,"Adobe Inc.","Technology / Software",27000,"San Jose, CA"
